item_id1,item_id2,result
57004436-99,57050294-PL,0
53033776-OR,53060830-OR,1
57003276-98,47076314-PL,0
53000877-56,53073038-01,1
47075849-32,57052894-99,0
53090511-CU,53080809-OR,1
57005952-PL,57004061-PL,0
53000883-01,53050903-41,1
53005032-TU,53080828-OR,0
53080809-OR,53193794-OR,1
53025032-05,57014425-99,0
53117744-99,53031097-OR,1
47037826-99,57050336-PL,0
53053793-OR,53020885-05,1
53033750-32,53005785-31,0
53080809-OR,53030963-99,1
57094431-DI,53090751-OR,0
51070902-99,53020588-99,1
57074012-99,43003753-OR,0
53091158-OR,53030691-OR,1
53060881-02,57020039-TC,0
53000759-99,53010582-TO,1
53070861-11,53030636-07,0
53000885-15,43083698-TO,1
57030384-20,53080716-OR,0
53050548-99,53030691-OR,1
57026727-99,57004429-99,0
57075781-99,51060677-08,1
57094033-PL,57079103-28,0
53000885-37,41057802-02,1
57050181-02,57054422-08,0
53091158-OR,53080809-OR,1
57014425-PL,57039121-43,0
53060682-99,53090580-57,1
53000586-01,53013773-99,0
53000586-TC,53000886-99,1
53030570-02,47087124-DC,0
53091158-OR,53050548-99,1
57050294-PL,53113784-09,0
53080809-OR,53053763-30,1
57097119-78,57012509-99,0
53050682-70,53093739-99,1
53095770-52,53080828-OR,0
53000887-01,53005741-56,1
57071168-OR,43050805-OR,0
53103803-OR,53050829-OR,1
51020622-92,53060624-99,0
53020608-07,53117744-99,1
47043270-TN,47077845-99,0
53000588-TN,53000887-56,1
67010057-PL,57085809-52,0
53090511-CU,53050682-70,1
57062508-08,57066025-94,0
53040712-OR,53000890-02,1
51053024-99,57083261-99,0
53040578-01,53030691-OR,1
53003722-06,57050471-05,0
53070631-08,53031097-OR,1
57094033-PL,53080809-OR,0
53030594-08,53090511-CU,1
53073715-70,53193794-OR,0
53050753-32,53050575-CU,1
57073810-99,53030812-OR,0
53030594-08,53090511-CU,1
53093047-99,57038255-30,0
53080809-OR,53031097-OR,1
53063732-01,53023772-99,0
53050548-99,53030691-OR,1
57034423-99,57007587-99,0
53023035-OR,53000755-30,1
57050145-08,53040578-01,0
53023770-04,53050683-92,1
53063765-99,57074007-99,0
53103805-OR,53000927-99,1
57095804-99,57050468-52,0
53040578-01,53030691-OR,1
53050831-OR,53053742-20,0
53070830-OR,53040593-08,1
53055714-06,57050336-PL,0
53060830-OR,53000928-15,1
53040604-CU,57016021-PL,0
53040521-07,53053763-30,1
47075849-32,57020047-99,0
53070631-08,53050681-OR,1
57074782-99,57050086-99,0
53103804-OR,51053025-30,1
57016021-PL,57024031-OR,0
53000928-37,53050546-05,1
57002513-99,57064028-09,0
53040578-01,53030691-OR,1
57050294-PL,53050903-41,0
53070830-OR,53080828-OR,1
67000502-99,57095798-35,0
53040593-08,51030703-05,1
53191158-46,53060830-OR,0
53050576-01,53030691-OR,1
57050230-01,57005937-OR,0
53050624-01,43025787-OR,1
53031097-OR,43045796-08,0
51090613-11,53000931-43,1
57014034-43,57020039-TC,0
53040578-01,53030681-43,1
53000626-99,53080880-37,0
53060637-92,53000934-TC,1
57085809-52,53080778-99,0
53030691-OR,53080828-OR,1
57003819-TM,53090599-56,0
53080871-99,53040593-08,1
57005827-43,57015924-52,0
53000937-TM,53050915-TC,1
57065786-05,57026027-94,0
53060518-02,53021059-08,1
57000420-11,53091158-OR,0
53060830-OR,53050831-OR,1
57040291-TM,53080716-OR,0
53020589-28,53000938-06,1
53090827-OR,53045763-99,0
53030691-OR,53030619-01,1
43073737-OR,57086728-CU,0
51053024-99,53031097-OR,1
57044037-30,57040274-OR,0
53043747-99,53000995-01,1
57055797-94,57002514-02,0
53030691-OR,53090733-99,1
53003766-OR,57002513-99,0
53031097-OR,53020884-01,1
57089107-99,53080920-99,0
53071140-23,53060603-28,1
57041173-PL,57086713-92,0
53033766-OR,53001120-20,1
53031097-OR,53091158-OR,0
53091158-OR,53080809-OR,1
57023805-99,53051101-99,0
53021098-OR,53003751-99,1
57020047-99,57012880-05,0
53003059-PL,53020583-92,1
57084388-99,57057687-81,0
53091158-OR,53030691-OR,1
53003766-OR,57004433-99,0
53050961-11,53021098-OR,1
57065810-40,47033263-OR,0
53003751-99,53003060-PL,1
57002533-PL,53093739-99,0
53040609-CU,53090511-CU,1
57032880-05,67020051-PL,0
53030691-OR,53053763-30,1
57050302-07,47091248-31,0
53103804-OR,53003062-99,1
57030776-99,57001026-99,0
53080809-OR,53020585-02,1
53090591-12,57025957-99,0
53003751-99,53003063-04,1
57030257-02,53090591-12,0
53090511-CU,53060830-OR,1
57050271-OR,47074758-99,0
53060637-92,53103796-OR,1
57010282-94,57024031-OR,0
53030594-08,53090511-CU,1
57040158-99,53010582-TO,0
53080809-OR,53003715-37,1
67040288-99,53091158-OR,0
53030963-99,53103796-OR,1
47095651-02,57066011-99,0
53020589-28,53003716-02,1
53091158-OR,57075781-99,0
53020607-07,53090511-CU,1
57095919-61,47034428-PL,0
53103805-OR,53003716-99,1
47009012-20,57010765-08,0
53090511-CU,53053763-30,1
57000438-OR,57002514-02,0
53081158-OR,53103798-OR,1
57000440-52,53065769-99,0
53090667-28,53003717-31,1
53087684-32,57044035-99,0
53090580-57,53093777-17,1
53010573-TO,57005933-OR,0
53003718-70,53020686-TM,1
57050294-OR,57007695-91,0
53021059-08,53103798-OR,1
47005858-OR,53080920-99,0
53090733-99,53003718-85,1
57094419-32,51080862-99,0
53080809-OR,53063786-99,1
53021098-OR,43000547-TC,0
53013773-99,53053715-99,1
53030691-OR,53080809-OR,0
53080809-OR,53023770-04,1
57037753-77,53060830-OR,0
41083009-08,53003720-05,1
57000418-11,53063732-01,0
53091158-OR,53080809-OR,1
57050078-99,57075781-99,0
53021059-08,53053749-37,1
53093047-99,57050451-OR,0
53080809-OR,53080828-OR,1
53045770-02,57005509-99,0
53075776-CG,51080862-08,1
57050078-99,57036314-CG,0
53003721-83,53083760-32,1
47034043-TM,57050164-02,0
53081158-OR,53021059-08,1
53000586-01,57041178-OR,0
53000759-99,53103802-OR,1
53080809-OR,57052003-01,0
53003722-06,53023748-32,1
51035743-08,57040274-OR,0
53080809-OR,53081158-OR,1
57095798-05,53030597-52,0
53021059-08,53003722-70,1
53075779-99,57076028-92,0
53070641-92,53113798-08,1
53030636-07,53095770-52,0
53080809-OR,53193794-OR,1
53017026-05,57036020-DI,0
53000759-99,51053024-05,1
47051027-GM,57087691-TO,0
53003722-95,53055708-92,1
51060677-08,57021035-CU,0
53080809-OR,53013793-99,1
43073737-OR,43005802-OR,0
53023770-04,53083715-05,1
53010582-TU,53033751-99,0
53030691-OR,51005744-49,1
53045033-43,53030691-OR,0
51075736-49,53065769-99,1
57074433-05,57000351-08,0
53075779-99,57064001-02,1
47067662-08,67040052-PL,0
51053704-92,53003723-94,1
53020726-99,57064001-TM,0
53003778-OR,53013773-99,1
53013793-99,47087109-52,0
57015902-31,53003723-99,1
47018645-05,57035138-TN,0
57067881-43,53063778-43,1
53000586-TC,43075794-OR,0
53090511-CU,53063037-OR,1
57050100-05,57091180-01,0
53023035-OR,53003725-05,1
53090614-02,43069088-08,0
53040578-01,53070830-OR,1
57014778-01,53050943-50,0
53040712-OR,53050624-01,1
57072001-35,53023772-99,0
53060830-OR,53010582-TM,1
53003778-OR,53045741-85,0
43085020-99,53070861-11,1
53075779-99,57096007-99,0
53043037-OR,53000586-TC,1
57010274-OR,57030011-08,0
53003725-99,43035022-23,1
57004780-PL,53033778-50,0
53093739-99,53083715-05,1
47010105-99,57096026-99,0
53023028-99,53000765-OR,1
57050184-01,57007887-90,0
53025026-TM,53003727-99,1
57044781-TO,53010582-TO,0
53023750-01,53003729-05,1
57045972-99,53050829-OR,0
53073772-80,53015024-05,1
47065840-01,53030691-OR,0
53193794-OR,53075779-99,1
53080716-OR,53033751-99,0
53013794-CU,53103804-OR,1
57034782-50,47085848-TM,0
53040541-05,53020885-05,1
57040365-99,57010282-01,0
53091158-OR,53080809-OR,1
53193794-OR,57035923-99,0
53063786-99,53003729-99,1
57047881-OR,53080778-99,0
53080809-OR,53021059-08,1
47024004-99,57085938-10,0
53075776-CG,53090705-CU,1
57002513-99,53093739-99,0
53090511-CU,53080809-OR,1
53050632-08,47084002-01,0
53040605-CU,57064001-02,1
53033776-OR,57005818-50,0
53080809-OR,53021059-08,1
67090025-99,53093739-99,0
53080920-99,53003732-99,1
53090592-30,51093738-02,0
53003736-05,53075779-99,1
53013714-31,53003766-OR,0
53010582-01,53050683-92,1
53030691-OR,53095770-01,0
53080828-OR,53031097-OR,1
53033776-OR,51000910-43,0
53020606-99,53000623-08,1
57014427-78,67040070-OR,0
53035018-08,53003736-07,1
57007751-06,57054783-31,0
53030963-99,53020588-99,1
57075906-92,53030691-OR,0
51015735-99,53103796-OR,1
47002531-OR,57010636-56,0
53080828-OR,53065769-99,1
43013764-01,57014404-06,0
53031097-OR,51015766-92,1
57084417-01,57037879-OR,0
53023772-99,53003736-94,1
51073745-85,57042511-99,0
53080828-OR,53031097-OR,1
53073754-OR,57002521-99,0
53063786-99,53033778-50,1
57051087-TM,53015777-99,0
53003736-99,53073711-99,1
53033776-OR,57009215-50,0
53023750-01,53117744-99,1
57030409-92,53030691-OR,0
51080862-08,53003738-05,1
57002898-TC,53050829-OR,0
53060830-OR,53063757-50,1
53093782-CU,57013810-70,0
51061123-01,53033778-50,1
57005529-99,57010282-01,0
53000759-99,53080920-99,1
57030033-99,57064784-CO,0
51033705-99,53003738-49,1
57050336-OR,47055874-50,0
53080809-OR,51053024-99,1
53050664-99,57073795-05,0
53090580-57,53013773-99,1
57072887-46,57094414-99,0
53030691-OR,53073772-80,1
53003761-OR,57035910-43,0
53020884-01,53003739-91,1
53021099-OR,57004432-99,0
53030691-OR,53023750-01,1
53010991-06,43073696-TN,0
53063757-50,51061123-01,1
57050230-99,57010603-99,0
53030691-OR,53075779-99,1
51071100-79,53113782-OR,0
53003740-99,53063755-TU,1
57043797-99,47012502-99,0
53091158-OR,53080809-OR,1
53063757-50,51013711-02,0
53080828-OR,57075781-99,1
57005813-94,57050336-OR,0
51005038-02,53073755-08,1
57051178-OR,57076025-50,0
53013757-OR,53043749-04,1
53021098-OR,53023773-99,0
53093787-OR,53003742-TO,1
57088638-05,53060757-05,0
53031097-OR,53103700-TN,1
51085026-05,53090673-99,0
53003751-99,53071096-OR,1
57050032-99,57050184-99,0
53020583-92,57084380-99,1
53060712-03,53003793-02,0
53080809-OR,53071096-OR,1
57050184-99,53093715-09,0
53083787-OR,53003752-37,1
57055147-99,57004052-PL,0
53031097-OR,53003753-CU,1
57047881-OR,57004780-PL,0
53073042-28,53033750-32,1
53065769-99,53003776-70,0
53080809-OR,53071096-OR,1
57049089-56,51070586-08,0
53083787-OR,53033787-92,1
67020050-PL,57000276-OR,0
53030691-OR,53020589-99,1
53020607-07,57095929-99,0
53050690-01,53003755-32,1
53065769-99,57094014-05,0
57095920-OR,57075782-CG,1
53080670-99,57050230-91,0
53005774-01,57038255-30,1
53050683-92,57050271-OR,0
53003756-79,57027691-TO,1
53023716-07,47095848-99,0
53003757-09,57028256-30,1
53000674-99,57050294-OR,0
57087880-99,53043753-09,1
53080809-OR,57027735-30,0
53050829-OR,53043753-09,1
57035986-30,57062888-85,0
53003758-81,53060569-99,1
57006705-99,57062511-50,0
57015932-CU,53003760-05,1
57097715-43,57045809-01,0
57005553-43,57007692-05,1
57055144-99,53073754-OR,0
53005774-99,53003761-OR,1
57014038-OR,57074431-99,0
53090511-CU,53090827-OR,1
47005921-CU,57000033-01,0
53030908-01,53191158-46,1
57094427-02,57055938-99,0
53003762-OR,53080584-02,1
57092881-99,53103798-OR,0
53030751-28,53060664-32,1
57035965-35,57004783-99,0
53003764-OR,53080681-20,1
67000502-99,57092521-PL,0
53020588-99,53083725-01,1
53030691-OR,53060637-30,0
53075776-CG,57064001-TM,1
53040892-CO,57027757-65,0
53040541-TN,53003769-20,1
47057823-99,57067746-08,0
53080716-OR,53050591-GM,1
57050294-PL,53021059-08,0
53003060-PL,53003770-85,1
53000586-01,57010603-99,0
51070804-99,53031097-OR,1
57046312-94,57093806-37,0
53033751-99,53045763-99,1
57050294-OR,57062888-85,0
53003771-90,57065130-37,1
57062881-01,57050271-OR,0
53080809-OR,53033787-92,1
57094411-30,57040262-70,0
53003776-05,53005741-09,1
53030691-OR,53003751-99,0
53091158-OR,53030691-OR,1
67000502-99,57010275-OR,0
53093739-99,53080547-TN,1
53063757-50,53060518-02,0
53110680-99,53003776-70,1
57026006-PL,57050269-88,0
57075781-99,53003778-OR,1
51053746-85,53083780-99,0
53090529-99,51090908-76,1
57015932-CU,57020253-99,0
53040578-01,53003779-OR,1
57050294-PL,53091158-OR,0
53080716-OR,53093047-99,1
57057761-99,57075781-99,0
53003060-PL,53003780-OR,1
57040108-80,51075736-49,0
53193794-OR,53060830-OR,1
43003756-OR,57014425-PL,0
53073754-OR,53003783-OR,1
43027739-01,57094385-99,0
53063786-99,53075713-06,1
57014399-TM,51031014-70,0
53135025-99,53003784-02,1
53040712-OR,57076024-99,0
53055714-99,51073785-99,1
53020726-99,53080828-OR,0
57008632-99,53003786-99,1
57064001-37,57050454-88,0
53033776-OR,53073754-OR,1
57009027-30,57004434-CU,0
53050690-01,53023750-99,1
57034008-05,53041017-OR,0
53003790-02,53033786-99,1
57094431-DI,57015948-05,0
53090733-99,53020686-TM,1
53080749-TN,57004436-CU,0
53080809-OR,53010582-BL,1
53081158-OR,53043746-32,0
57075781-99,53080670-99,1
57024405-TN,53000626-99,0
53091158-OR,53021059-08,1
57006709-06,57003809-34,0
53020942-99,53103796-OR,1
51065030-05,57006707-99,0
51033730-08,53003793-99,1
57005802-05,57028274-01,0
57075781-99,53050873-TM,1
53043747-99,57050230-52,0
53090751-OR,53040541-TC,1
57057881-69,57061178-05,0
53023750-01,53073754-OR,1
53095768-99,47064425-99,0
51080862-99,53021098-OR,1
53050576-01,57012899-PL,0
57007587-99,53003794-43,1
53060830-OR,53050829-OR,0
53090733-99,53055750-92,1
57002516-02,53091158-OR,0
53005760-92,53003794-99,1
47095838-99,53040519-08,0
53080809-OR,53043747-99,1
57030411-OR,57052895-PL,0
53013749-99,53003795-02,1
53051142-20,57000435-43,0
53093739-99,53000586-TC,1
57022511-PL,57035974-52,0
53003795-52,53070530-07,1
57005802-05,57016021-PL,0
53033776-OR,53073754-OR,1
57014425-PL,57035965-35,0
57055921-02,57064001-02,1
57051087-TM,53003753-CU,0
53033776-OR,57055921-02,1
53103803-OR,47057878-75,0
57005952-PL,53033778-50,1
53090667-28,57086003-OR,0
53033778-52,53003800-99,1
47095848-99,53080809-OR,0
57047881-OR,53055714-99,1
53103803-OR,53031097-OR,0
57069212-99,57008632-99,1
51013711-52,47092530-31,0
53005012-99,57057891-99,1
53053763-30,57055943-99,0
53033776-OR,53083780-99,1
57005509-99,57001099-01,0
57016704-15,53005022-TN,1
57010241-01,57059604-68,0
53033776-OR,53095770-52,1
53005741-09,51080925-05,0
53013749-99,53005022-TO,1
47025854-OR,43063738-46,0
57075781-99,53053793-OR,1
57065804-TA,57000263-01,0
57095920-OR,53043777-CU,1
67000260-99,57050294-PL,0
51005038-02,51025030-30,1
57006705-99,57065806-52,0
53005032-05,53093739-99,1
57004402-TO,57000156-02,0
53023748-99,57015905-32,1
53020686-TM,57004437-99,0
53031097-OR,53071028-30,1
47088639-08,53005787-30,0
53023772-99,53055714-99,1
53050576-01,53090733-99,0
51073785-09,53005032-TN,1
53077019-50,47024004-85,0
53005032-TU,57047881-OR,1
57010282-01,57005911-94,0
53033761-99,53095751-99,1
57040274-OR,53050873-TM,0
53103803-OR,53031097-OR,1
53050961-11,57000418-11,0
53071028-30,53055714-17,1
43047758-05,57051174-85,0
53005738-08,51065748-30,1
53003778-OR,57022520-99,0
53080809-OR,53000625-99,1
53040578-01,57050294-PL,0
53005738-09,53075713-09,1
53081158-OR,53000586-TO,0
53071028-30,53045718-17,1
53030691-OR,57084379-78,0
57005952-PL,57075782-CG,1
53025026-99,57010046-99,0
53005738-30,57005554-05,1
57013812-05,53005769-05,0
53080828-OR,57085919-99,1
57004053-PL,57065904-30,0
53071028-30,57005952-PL,1
57014406-BL,53033776-OR,0
51015740-99,53005738-92,1
57015961-02,67030559-99,0
53090733-99,53033761-99,1
57094425-05,57067889-70,0
53055750-92,53055714-99,1
67090588-99,57062508-08,0
53103803-OR,53050829-OR,1
53067018-02,53043777-CU,0
53075779-99,53075713-99,1
57063802-05,47078255-99,0
53093739-99,53003778-OR,1
57025807-02,57051087-TM,0
53045776-32,51085752-32,1
47055956-OR,57010035-CU,0
53005740-92,57094377-09,1
57089210-99,53025026-92,0
53065769-99,57095923-CU,1
41085754-09,47075947-07,0
53005741-56,53067676-30,1
47024004-99,53020588-99,0
57045915-05,57085902-18,1
57044409-TO,53021097-OR,0
57037651-77,57015926-56,1
57040365-99,43053737-OR,0
53083780-99,57005952-PL,1
57004780-PL,57001097-99,0
57005506-80,53005742-85,1
57039208-99,57047886-99,0
57006707-99,51053704-99,1
57099204-99,57010601-99,0
57075782-77,57085902-18,1
43025786-OR,47037826-99,0
53005745-96,53057658-32,1
53023772-99,57085134-99,0
57017897-05,57035910-43,1
47003773-01,57036006-OR,0
53103803-OR,53050829-OR,1
53040712-OR,57033823-02,0
57005506-80,53005748-02,1
57086313-95,57050111-PL,0
53055714-06,53070530-07,1
57000276-PL,57094033-PL,0
53073754-OR,53065769-99,1
57033805-52,57001097-99,0
53095779-30,53005748-30,1
53080809-OR,57083795-99,0
53050829-OR,57006707-99,1
53080574-99,57020012-01,0
57005506-80,53055714-06,1
57041178-OR,53081158-OR,0
53075713-06,53005748-32,1
53010582-TM,57032882-01,0
53135025-99,53070530-07,1
57015952-08,53033792-52,0
51065748-30,43005808-01,1
51043741-09,57002514-99,0
57015932-CU,53095779-30,1
53000591-02,67050292-PL,0
67040070-OR,53005749-08,1
57031178-99,57039106-99,0
53095768-99,57047881-OR,1
57027691-TO,57057739-81,0
53020726-99,53005749-56,1
67050548-48,57096014-92,0
53033776-OR,53005753-69,1
57014001-08,57050335-TC,0
57027105-69,57065939-02,1
47044025-OR,53103803-OR,0
53030691-OR,53090580-57,1
57088254-02,53083784-02,0
53005785-31,53073754-OR,1
53003719-99,53193794-OR,0
53063786-99,53055750-92,1
57029123-73,51083028-99,0
53013792-99,53005760-92,1
57046021-50,53080716-OR,0
51083785-94,57005952-PL,1
53005032-TN,57025976-99,0
57005506-80,53033778-50,1
53080809-OR,57087731-05,0
53080809-OR,53050624-01,1
57019216-99,53025778-99,0
51005750-99,53005765-99,1
57056307-99,57046024-08,0
53020588-99,53063786-99,1
47032882-PL,53030691-OR,0
53021098-OR,53005745-96,1
57010040-99,57085919-99,0
53080809-OR,53033776-OR,1
57004423-70,57010241-01,0
53050624-01,53090580-57,1
53080670-99,57019037-56,0
53065769-99,53005769-05,1
53043775-99,53085735-99,0
53013773-99,53020894-02,1
57010037-05,57015131-99,0
57064001-02,53071096-OR,1
53040578-01,53093722-99,0
53080809-OR,53050624-01,1
51070902-99,57040365-99,0
53005032-05,53090733-99,1
53040519-08,57009222-99,0
53005769-99,53075744-20,1
53030666-26,57010007-99,0
53005032-05,53063776-02,1
53075744-99,47041260-98,0
57005506-80,53005770-05,1
57092894-99,51090613-01,0
53033776-OR,53021059-08,1
53003755-32,53025778-31,0
53095770-01,53030680-99,1
57040376-OR,57096020-99,0
53080809-OR,53065762-05,1
57093819-01,57050076-OR,0
57064001-TM,53005773-08,1
57050257-99,57025801-95,0
53065769-99,57005933-OR,1
57077881-70,53050576-01,0
53085744-TM,53030680-99,1
43065758-07,57024404-06,0
53091158-OR,53021099-OR,1
57092512-32,57022510-99,0
53075779-99,53000586-TC,1
57017687-11,57057739-05,0
51075026-49,53005774-01,1
57085808-56,57015800-99,0
53080809-OR,51075736-99,1
57005937-OR,57004052-PL,0
51005750-99,53013788-99,1
53060865-02,57085809-52,0
53005774-99,53070521-99,1
57027690-TM,53053763-30,0
53080809-OR,53095770-01,1
57005952-PL,57073803-05,0
53005780-15,57039203-43,1
57050248-99,57045907-99,0
53023762-99,53075779-99,1
57093810-08,43025786-OR,0
57005933-OR,53000586-TN,1
57090027-99,53097656-17,0
51073785-99,57065939-99,1
47027838-OR,57030252-83,0
53075713-94,53000591-01,1
43063738-46,57057746-92,0
53030691-OR,53005785-31,1
57034038-94,53030691-OR,0
53063786-99,57064001-TM,1
43073737-OR,57010467-52,0
53053760-51,53055750-92,1
57075782-77,53020726-99,0
53005760-92,51085724-79,1
47086319-CU,57040291-TM,0
53080828-OR,67090588-99,1
57040262-01,53000586-TC,0
53005785-99,67010080-OR,1
53003761-OR,57050554-30,0
51005038-02,53021099-OR,1
57010603-99,57002541-PL,0
57065943-99,57027691-TO,1
67070595-99,53080809-OR,0
53005786-30,53031046-99,1
53113782-OR,57050309-OR,0
57075781-99,53005787-30,1
57002888-99,43025787-OR,0
57005529-99,57005930-OR,1
57064001-TN,47094023-PL,0
53080809-OR,53095768-99,1
57000365-99,53021099-OR,0
51043739-03,57006705-99,1
53020607-07,51091106-12,0
53033776-OR,53013773-99,1
57055921-02,57010620-40,0
57015131-99,57065939-02,1
57004431-TA,43013749-09,0
53191158-46,51035023-05,1
57040158-99,57071182-21,0
53010568-01,67040070-OR,1
53055714-94,57017895-06,0
53050829-OR,51015740-99,1
53020607-07,57027691-TO,0
67040070-OR,53010568-51,1
53020585-02,57026311-08,0
53080809-OR,53073754-OR,1
57010252-05,53015749-79,0
53043747-99,53083025-02,1
57002536-OR,57043266-05,0
53020726-99,53010568-99,1
53073726-OR,57014432-01,0
53003761-OR,57017897-05,1
53003757-09,53033750-70,0
57069212-99,53010568-TG,1
57050311-07,57040579-32,0
57047892-94,53025778-99,1
57098273-05,53030680-99,0
51013791-02,53043747-99,1
57057751-96,53093047-99,0
53010568-TM,57087691-TO,1
57066015-92,67000502-99,0
57055920-78,53073726-OR,1
57006707-99,57072508-31,0
53015772-30,53010568-TN,1
57020260-99,57040161-TC,0
57017893-05,53067684-99,1
57038255-30,53090588-01,0
67011503-99,57017880-32,1
57040070-OR,57040357-43,0
53095770-52,53090591-12,1
53090751-OR,57010260-05,0
51085752-32,53073726-OR,1
51093755-99,57055802-05,0
53010568-TO,57007703-05,1
53050829-OR,57083795-32,0
53033776-OR,51023743-09,1
57010040-99,57006705-99,0
53020588-99,53000759-99,1
57075965-99,53103804-OR,0
53095742-92,53010573-37,1
67090025-99,53090667-28,0
53050576-01,53050548-99,1
57007740-08,57000187-01,0
53030691-OR,53070830-OR,1
57074783-99,57035910-07,0
53060830-OR,53010619-02,1
57050179-99,47074023-01,0
53075713-94,67040070-OR,1
57065939-02,43055757-02,0
53020726-99,53135025-99,1
53055711-50,51025039-15,0
43005802-OR,53043037-OR,1
57097888-99,47005949-99,0
53033776-OR,53050630-09,1
57083273-PL,53055768-99,0
53083035-50,53010573-TM,1
57050184-01,53003753-CU,0
53060830-OR,53055714-06,1
57096007-99,57037880-OR,0
67040070-OR,67050548-48,1
57020039-TC,57026006-PL,0
51055745-TO,67040070-OR,1
53071028-30,57025988-99,0
67050548-48,53010573-TO,1
57022510-99,57020043-52,0
53030594-08,53030636-07,1
57000265-52,53113784-09,0
53080809-OR,53060830-OR,1
57010241-01,57040262-01,0
53050630-09,53010582-01,1
57007608-36,57092881-01,0
53083025-02,53070530-07,1
47064425-99,53030812-OR,0
53080828-OR,57006707-99,1
47076304-01,53090588-99,0
57005952-PL,53010582-02,1
57050294-OR,57065149-99,0
53030594-08,53050576-01,1
53060511-08,57030039-PL,0
53030691-OR,53043037-OR,1
43027025-99,47005920-99,0
53010582-BL,53080544-05,1
57041501-30,57022884-90,0
53010582-TM,51083782-02,1
47095838-99,51083028-70,0
67040070-OR,57047652-OR,1
43090723-OR,57007891-05,0
53030691-OR,53025031-05,1
57014425-PL,57014427-30,0
51023030-01,53023773-99,1
51095024-30,57085902-18,0
53010582-TO,57069212-99,1
57077701-07,57034008-05,0
57057891-99,53053772-02,1
57022520-99,57054763-40,0
57005506-80,53095779-30,1
57052508-99,57075137-09,0
53060664-32,57005933-OR,1
53080739-81,57089075-99,0
53080809-OR,53013741-99,1
57040376-OR,53093764-05,0
51070902-99,53060547-99,1
57084388-99,53030547-05,0
53010605-09,57007608-36,1
57007901-99,53080809-OR,0
53050576-01,53080809-OR,1
53091077-30,57039041-11,0
53050961-11,53031097-OR,1
53080809-OR,47077105-50,0
53053793-OR,57005937-OR,1
53090511-CU,57050294-OR,0
53071096-OR,53010608-20,1
57042894-TN,47003777-DC,0
53050576-01,53030715-OR,1
57020363-PL,53015779-49,0
53080828-OR,53050624-01,1
53093047-99,57040459-99,0
53050576-01,53050548-99,1
47014026-OR,47092530-31,0
53030691-OR,53080828-OR,1
57040579-32,57085919-99,0
53010615-81,53010617-81,1
51080862-08,53080809-OR,0
53030691-OR,53020894-02,1
57007776-65,57065918-37,0
53010616-32,53093741-CU,1
57040312-99,57040598-99,0
53103803-OR,53020608-07,1
57095786-05,57045809-01,0
53030963-99,53081158-OR,1
43005802-OR,43035799-09,0
51013711-02,53010616-85,1
57017714-99,57015922-OR,0
53010615-81,53010617-81,1
53033751-99,57014427-30,0
53050548-99,53090511-CU,1
43005802-OR,51083783-70,0
53030691-OR,53050682-70,1
53000931-43,53070631-08,0
41005828-05,53010619-02,1
53065735-02,57050032-99,0
53050803-OR,53070830-OR,1
53063701-78,57040376-OR,0
53080828-OR,53050624-01,1
53013757-OR,53091158-OR,0
53043036-09,53010619-82,1
57020041-99,57084783-99,0
53090511-CU,53070592-08,1
53003766-OR,47039045-02,0
53050803-OR,53010619-94,1
57093812-30,57028632-99,0
53090751-OR,43065758-07,1
57034016-70,57065943-99,0
53030681-43,53040541-05,1
53013773-99,57026022-PL,0
53015024-05,53010751-50,1
53005760-92,57007776-65,0
53090511-CU,53030691-OR,1
47075968-08,53010568-TN,0
53060830-OR,53050624-45,1
57010266-05,57004046-OR,0
53010823-08,43079077-05,1
47047844-PL,47046706-CU,0
53090511-CU,53030691-OR,1
53090511-CU,53117744-99,0
53070830-OR,53060830-OR,1
57022511-PL,53000671-94,0
53050632-08,53010823-20,1
57065921-30,53093047-99,0
53060518-02,43005802-OR,1
47017722-CU,57034008-05,0
43073737-OR,43063738-46,1
57005813-09,53073726-OR,0
43025786-OR,43003756-OR,1
57145963-98,53033776-OR,0
44045825-OR,53050595-OR,1
47037654-08,57010037-99,0
41095799-02,53010841-99,1
53003781-OR,57083817-05,0
43005802-OR,43073737-OR,1
57096026-99,57040108-80,0
43063738-46,53090511-CU,1
57062510-02,47024032-CU,0
41045021-02,43003756-OR,1
53053763-30,57075781-99,0
43060860-03,53010842-01,1
53050616-01,57050111-PL,0
53020928-02,43005032-99,1
57091502-OR,57073821-70,0
53080809-OR,53080716-OR,1
57040076-99,57094397-05,0
57075911-99,53043777-CU,1
53000586-70,57002512-99,0
57038255-30,53010844-99,1
53060879-99,57042511-99,0
53091158-OR,53030691-OR,1
57042881-05,53020884-01,0
53013741-99,53043747-99,1
53060830-OR,53063783-32,0
53060511-08,53090511-CU,1
57000276-OR,53073729-77,0
53030691-OR,53080809-OR,1
53070773-01,53040548-05,0
53050831-OR,53050585-02,1
57083795-32,53093030-99,0
53090511-CU,53080809-OR,1
57015141-06,53070860-05,0
53050681-OR,53050632-08,1
57086313-95,53067684-99,0
53090511-CU,53080809-OR,1
57052508-99,57010275-OR,0
53080828-OR,53063764-32,1
57050437-OR,57075781-99,0
53040578-01,53103803-OR,1
57072001-01,57050294-OR,0
53091158-OR,53040593-08,1
57001004-99,57071168-OR,0
53040578-01,53103803-OR,1
57068269-TS,57017901-05,0
53091158-OR,53040593-08,1
57010007-99,57055810-05,0
53030691-OR,53080809-OR,1
